,Name,Lat,Lng,Address
76,Save A Lot,41.518682,-81.6381205,"7210 Superior Ave, Cleveland"
77,Dave's Supermarket,41.48313,-81.5908928,"13130 Shaker Square, Cleveland"
78,Dave's Markets Ohio City,41.4850255,-81.705783,"2700 Carroll Ave, Cleveland"
79,Dave's Markets Middlebury Market,41.0712776,-81.4932022,"871 E Exchange St, Akron"
80,Dave's Mercado,41.459452,-81.737391,"3565 Ridge Rd, Cleveland"
81,Dave's Markets Slavic Village,41.4485998,-81.6352812,"7422 Harvard Ave, Cleveland"
82,Dave's Markets Turneytown,41.4245366,-81.6136405,"4948 Turney Rd, Garfield Heights"
83,Dave's Markets Harvard & Lee,41.4480706,-81.5625777,"16820 Harvard Ave, Cleveland"
84,Dave's Markets Cedar Hill,41.5009537,-81.5931396,"12438 Cedar Rd, Cleveland Heights"
85,Dave's Markets Wilson Mills,41.5382155,-81.4964014,"5100 Wilson Mills Rd, Richmond Heights"
86,Dave's Markets Severance,41.5175,-81.5530556,"3628 Mayfield Road Severance Town Center, Cleveland Heights"
87,Dave's Markets Euclid Beach,41.5786111,-81.5694444,"15900 Lakeshore Blvd, Cleveland"
88,Dave's Market & eatery,41.506246,-81.647824,"1929 E 61st St, Cleveland"
89,5100 Wilson Mills Rd (Dave's Supermarket),41.5389232,-81.4953402,Richmond Heights
90,Sunshine Market,41.43443,-81.630248,"4595 Warner Rd, Cleveland"
91,Simon's Supermarket,41.5053351,-81.6327652,"7973 Euclid Ave, Cleveland"
92,Heinen's Grocery Store,41.4652935,-81.5636346,"16611 Chagrin Blvd, Shaker Heights"
93,Heinen's Grocery Store,41.4134014,-81.3388027,"8482 E Washington St, Chagrin Falls"
94,Heinen's Grocery Store,41.431116,-81.3895592,"Chagrin Falls 20 Shopping, Center St, Chagrin Falls"
95,Heinen's Grocery Store,41.3211694,-81.623725,"8383 Chippewa Rd, Brecksville"
96,Heinen's Grocery Store,41.4631665,-81.4599921,"30849 Pinetree Rd, Pepper Pike"
97,Heinen's Grocery Store,41.5003694,-81.5198778,"2180 S Green Rd, Cleveland"
98,Heinen's of Downtown Cleveland,41.5000366,-81.6861122,"900 Euclid Ave, Cleveland"
99,Heinen's Grocery Store,41.3703412,-81.8047626,"Heinen's of, 15300 Bagley Rd, Middleburg Heights"
100,Heinen's Grocery Store,41.481684,-81.834753,"19219 Detroit Rd, Rocky River"
101,Heinen's Grocery Store,41.315592,-81.829797,"18300 Royalton Rd, Strongsville"
102,Heinen's Grocery Store,41.4836498,-81.9221086,"434 Dover Center Rd, Bay Village"
103,Heinen's Grocery Store,41.4602353,-82.0175955,"35980 Detroit Rd, Avon"
