,Unnamed: 0,Name,Lat,Lng,Address,Distance
63,63,Giant Eagle Supermarket,41.389399,-81.525974,"900 Northfield Rd, Bedford",29.00
64,64,Giant Eagle Supermarket,41.52176,-81.5216303,"4401 Mayfield Rd, South Euclid",24.79
65,65,Giant Eagle Supermarket,41.3903732,-81.3374812,"8515 Tanglewood Square, Chagrin Falls",21.58
66,66,Giant Eagle Supermarket,41.6361596,-81.47470940000001,"30320 Lakeshore Blvd, Willowick",21.31
67,67,Giant Eagle Supermarket,41.523612,-81.3402588,"12692 Chillicothe Rd, Chesterland",15.99
68,68,Giant Eagle Supermarket,41.5213889,-81.45277779999999,"6259 Mayfield Rd, Mayfield Heights",21.42
69,69,Giant Eagle Supermarket,41.630325,-81.42773199999999,"36475 Euclid Ave, Willoughby",18.87
70,70,Giant Eagle Supermarket,41.237182000000004,-80.7435392,"8202 E Market St, Warren",31.48
71,71,Giant Eagle Supermarket,41.464609,-81.092427,"15400 W High St, Middlefield",11.20
72,72,Giant Eagle Supermarket,41.583533,-81.218232,"351 Center St, Chardon",8.55
73,73,Giant Eagle Supermarket,41.706115000000004,-81.266436,"1201 Mentor Ave, Painesville",11.93
74,74,Giant Eagle Supermarket,41.2600954,-80.8325941,"State Road Northwest, 2700 Mahoning Ave, Warren",27.89
75,75,Giant Eagle Supermarket,41.1663211,-80.6665962,"4700 Belmont Ave, Youngstown",37.76
76,76,Giant Eagle Supermarket,41.1590731,-81.227761,"909 E Main St, Ravenna",33.32
77,77,Giant Eagle Supermarket,40.836751899999996,-81.260779,"108 W Main St, Louisville",55.44
78,78,Giant Eagle Supermarket,41.1056643,-81.2410908,"4260 OH-44, Rootstown",37.07
79,79,Giant Eagle Supermarket,41.101062799999994,-80.7571223,"5220 Mahoning Ave, Youngstown",39.52
80,80,Giant Eagle Supermarket,40.899753999999994,-80.826774,"2401 E State St, Salem",51.59
81,81,Giant Eagle Supermarket,41.023352,-80.74694000000001,"525 E Main St, Canfield",44.68
82,82,Giant Eagle Supermarket,41.026204,-80.678886,"476 Boardman-Canfield Rd, Youngstown",45.92
83,83,Giant Eagle Supermarket,41.027015999999996,-80.632421,"1201 Doral Dr, Youngstown",46.96
84,84,Giant Eagle Supermarket,40.9007509,-81.13130670000001,"1800 W State St, Alliance",50.18
85,85,Giant Eagle Supermarket,41.2552,-80.793396,"2061 Elm Rd NE, Warren",29.11
