Store Name,Lat,Lng,Address
Giant Eagle Supermarket,41.1173056,-81.4834417,"230 Howe Ave, Cuyahoga Falls"
Giant Eagle Supermarket,40.881632,-81.56961700000001,"2275 Locust St, Canal Fulton"
Giant Eagle Supermarket,41.100002200000006,-81.4499402,"205 West Ave, Tallmadge"
Giant Eagle Deli,41.4057152,-81.79790159999999,"14650 Snow Rd, Brook Park"
Giant Eagle Supermarket,41.0275176,-81.50939670000001,"484 E Waterloo Rd, Akron"
Giant Eagle Supermarket,41.314921000000005,-81.726351,"6000 Royalton Rd, North Royalton"
Giant Eagle Supermarket,41.3784833,-81.7397306,"7939 Day Dr, Cleveland"
Giant Eagle Supermarket,41.315084999999996,-81.656132,"4343 E Royalton Rd, Broadview Heights"
Giant Eagle Supermarket,41.313202000000004,-81.529222,"290 E Aurora Rd, Northfield"
Giant Eagle Supermarket,41.404282,-81.61245600000001,"5744 Transportation Blvd, Garfield Heights"
Giant Eagle Supermarket,41.202155,-81.433934,"1700 Norton Rd, Stow"
Giant Eagle Supermarket,41.415647,-81.53553199999999,"5321 Warrensville Center Rd, Maple Heights"
Giant Eagle Supermarket,41.503452,-81.499514,"25105 Cedar Rd, Lyndhurst"
Giant Eagle Supermarket,41.2373732,-81.3472786,"1280 OH-303, Streetsboro"
Giant Eagle Supermarket,41.4659271,-81.5057297,"24601 Chagrin Blvd, Beachwood"
Giant Eagle Supermarket,41.309497,-81.442126,"8960 Darrow Rd, Twinsburg"
Giant Eagle Supermarket,41.389399,-81.525974,"900 Northfield Rd, Bedford"
Giant Eagle Supermarket,41.52176,-81.5216303,"4401 Mayfield Rd, South Euclid"
Giant Eagle Supermarket,41.3903732,-81.3374812,"8515 Tanglewood Square, Chagrin Falls"
Giant Eagle Supermarket,41.6361596,-81.47470940000001,"30320 Lakeshore Blvd, Willowick"
Giant Eagle Supermarket,41.523612,-81.3402588,"12692 Chillicothe Rd, Chesterland"
Giant Eagle Supermarket,41.5213889,-81.45277779999999,"6259 Mayfield Rd, Mayfield Heights"
Giant Eagle Supermarket,41.630325,-81.42773199999999,"36475 Euclid Ave, Willoughby"
Giant Eagle Supermarket,41.237182000000004,-80.7435392,"8202 E Market St, Warren"
Giant Eagle Supermarket,41.464609,-81.092427,"15400 W High St, Middlefield"
Giant Eagle Supermarket,41.583533,-81.218232,"351 Center St, Chardon"
Giant Eagle Supermarket,41.706115000000004,-81.266436,"1201 Mentor Ave, Painesville"
Giant Eagle Supermarket,41.2600954,-80.8325941,"State Road Northwest, 2700 Mahoning Ave, Warren"
Giant Eagle Supermarket,41.1663211,-80.6665962,"4700 Belmont Ave, Youngstown"
Giant Eagle Supermarket,41.1590731,-81.227761,"909 E Main St, Ravenna"
Giant Eagle Supermarket,40.836751899999996,-81.260779,"108 W Main St, Louisville"
Giant Eagle Supermarket,41.1056643,-81.2410908,"4260 OH-44, Rootstown"
Giant Eagle Supermarket,41.101062799999994,-80.7571223,"5220 Mahoning Ave, Youngstown"
Giant Eagle Supermarket,40.899753999999994,-80.826774,"2401 E State St, Salem"
Giant Eagle Supermarket,41.023352,-80.74694000000001,"525 E Main St, Canfield"
Giant Eagle Supermarket,41.026204,-80.678886,"476 Boardman-Canfield Rd, Youngstown"
Giant Eagle Supermarket,41.027015999999996,-80.632421,"1201 Doral Dr, Youngstown"
Giant Eagle Supermarket,40.9007509,-81.13130670000001,"1800 W State St, Alliance"
Giant Eagle Supermarket,41.2552,-80.793396,"2061 Elm Rd NE, Warren"
Giant Eagle Supermarket,41.0243835,-80.59281159999999,"3130 Center Rd, Poland"
Giant Eagle Supermarket,41.235627,-80.55765,"7229 Warren - Sharon Rd, Brookfield Township"
Giant Eagle Supermarket,41.1842135,-80.75960090000001,"48 Vienna Ave, Niles"
ALDI,40.8272405,-81.9076907,"2249 Akron Rd, Wooster"
ALDI,40.7944304,-81.4467118,"5117 W Tuscarawas St W, Canton"
ALDI,41.0480346,-81.7275543,"174 Park Center Dr, Wadsworth"
ALDI,41.1352861,-81.8101564,"3444 Medina Rd, Medina"
ALDI,41.1326032,-81.63769740000001,"120 S Cleveland Massillon Rd, Fairlawn"
ALDI,41.23892070000001,-81.8376594,"4221 Center Rd, Brunswick"
ALDI,41.0562721,-81.5826107,"2100 Romig Rd, Akron"
ALDI,40.85401160000001,-81.4248166,"4082 Belden Village St NW, Canton"
ALDI,41.4208561,-81.9026839,"4692 Great Northern Blvd, North Olmsted"
ALDI,41.0652875,-81.5273946,"772 S Main St, Akron"
ALDI,41.3727349,-81.82967430000001,"18324 Bagley Rd, Middleburg Heights"
ALDI,41.4597502,-81.8559176,"21329 Center Ridge Rd, Fairview Park"
ALDI,41.3924499,-82.0069752,"35111 Center Ridge Rd, North Ridgeville"
ALDI,41.036091600000006,-81.49050679999999,"1333 S Arlington St, Akron"
ALDI,41.3116279,-81.83394890000001,"14267 Pearl Rd, Strongsville"
ALDI,41.1579519,-81.860984,"1180 N Court St, Medina"
ALDI,41.4617898,-81.95972809999999,"30700 Detroit Rd, Westlake"
ALDI,41.1069072,-81.467413,"1620 Brittain Rd, Akron"
ALDI,41.4202558,-81.75938620000001,"5170 Tiedeman Rd, Brooklyn"
